State,2021_Families!!Estimate_Mean income (dollars),2021_Families!!Estimate_Median income (dollars),2021_Families!!Estimate_Total,2021_Families!!Estimate_    Family income in the past 12 months,2021_Households!!Estimate_Mean income (dollars),2021_Households!!Estimate_Median income (dollars),2021_Households!!Estimate_Total,2021_Households!!Estimate_    Household income in the past 12 months,2021_Married-couple families!!Estimate_Mean income (dollars),2021_Married-couple families!!Estimate_Median income (dollars),2021_Married-couple families!!Estimate_Total,2021_Nonfamily households!!Estimate_Mean income (dollars),2021_Nonfamily households!!Estimate_Median income (dollars),2021_Nonfamily households!!Estimate_Total,2021_Nonfamily households!!Estimate_    Nonfamily income in the past 12 months,2022_Families!!Estimate_Mean income (dollars),2022_Families!!Estimate_Median income (dollars),2022_Families!!Estimate_Total,2022_Families!!Estimate_    Family income in the past 12 months,2022_Households!!Estimate_Mean income (dollars),2022_Households!!Estimate_Median income (dollars),2022_Households!!Estimate_Total,2022_Households!!Estimate_    Household income in the past 12 months,2022_Married-couple families!!Estimate_Mean income (dollars),2022_Married-couple families!!Estimate_Median income (dollars),2022_Married-couple families!!Estimate_Total,2022_Nonfamily households!!Estimate_Mean income (dollars),2022_Nonfamily households!!Estimate_Median income (dollars),2022_Nonfamily households!!Estimate_Total,2022_Nonfamily households!!Estimate_    Nonfamily income in the past 12 months,2023_Families!!Estimate_Mean income (dollars),2023_Families!!Estimate_Median income (dollars),2023_Families!!Estimate_Total,2023_Families!!Estimate_    Family income in the past 12 months,2023_Households!!Estimate_Mean income (dollars),2023_Households!!Estimate_Median income (dollars),2023_Households!!Estimate_Total,2023_Households!!Estimate_    Household income in the past 12 months,2023_Married-couple families!!Estimate_Mean income (dollars),2023_Married-couple families!!Estimate_Median income (dollars),2023_Married-couple families!!Estimate_Total,2023_Nonfamily households!!Estimate_Mean income (dollars),2023_Nonfamily households!!Estimate_Median income (dollars),2023_Nonfamily households!!Estimate_Total,2023_Nonfamily households!!Estimate_    Nonfamily income in the past 12 months,2024_Families!!Estimate_Mean income (dollars),2024_Families!!Estimate_Median income (dollars),2024_Families!!Estimate_Total,2024_Families!!Estimate_    Family income in the past 12 months,2024_Households!!Estimate_Mean income (dollars),2024_Households!!Estimate_Median income (dollars),2024_Households!!Estimate_Total,2024_Households!!Estimate_    Household income in the past 12 months,2024_Married-couple families!!Estimate_Mean income (dollars),2024_Married-couple families!!Estimate_Median income (dollars),2024_Married-couple families!!Estimate_Total,2024_Nonfamily households!!Estimate_Mean income (dollars),2024_Nonfamily households!!Estimate_Median income (dollars),2024_Nonfamily households!!Estimate_Total,2024_Nonfamily households!!Estimate_    Nonfamily income in the past 12 months
Georgia,"107,259","80,731","2,675,262",44.2%,"92,425","66,559","4,001,109",42.4%,"127,871","98,384","1,881,572","58,190","41,300","1,325,847",37.2%,"116,323","86,642","2,733,234",42.7%,"99,863","72,837","4,092,467",40.8%,"137,787","105,880","1,917,471","61,965","44,656","1,359,233",35.5%,"121,214","91,058","2,735,185",43.2%,"103,146","74,632","4,150,138",41.4%,"143,275","111,443","1,925,665","63,562","45,317","1,414,953",36.6%,"127,551","96,419","2,793,843",43.7%,"108,907","79,991","4,220,732",41.5%,"149,586","116,922","1,971,007","67,057","49,250","1,426,889",36.0%
Hawaii,"127,684","100,890","334,899",43.0%,"111,751","84,857","490,080",41.0%,"141,101","113,919","248,069","66,808","49,452","155,181",33.8%,"135,028","108,285","335,052",40.8%,"120,969","92,458","494,827",38.7%,"151,985","122,592","240,727","76,308","53,295","159,775",31.9%,"140,701","113,856","336,748",39.8%,"124,713","95,322","493,898",38.1%,"156,914","128,308","248,739","76,040","53,331","157,150",31.3%,"147,865","119,933","331,709",38.9%,"131,862","100,745","493,151",37.3%,"163,160","133,605","241,695","83,083","58,685","161,442",30.9%
Idaho,"101,601","79,993","476,470",34.0%,"89,955","66,474","693,882",33.5%,"111,597","88,433","385,704","59,986","38,607","217,412",30.6%,"108,727","85,193","491,073",34.4%,"94,503","72,785","717,151",34.3%,"119,113","93,252","396,372","57,863","42,145","226,078",32.3%,"114,190","91,098","510,562",35.0%,"98,653","74,942","733,244",34.4%,"124,695","99,346","408,624","57,791","42,022","222,682",31.6%,"119,379","96,310","512,450",33.7%,"104,073","81,166","751,181",33.1%,"131,124","105,402","410,032","65,214","48,391","238,731",30.6%
Illinois,"120,125","90,861","3,135,600",42.0%,"99,874","72,205","4,991,641",39.3%,"139,935","108,583","2,300,396","62,051","43,121","1,856,041",33.7%,"129,493","96,948","3,137,923",40.9%,"106,728","76,708","5,056,360",38.5%,"151,829","116,450","2,282,497","65,371","46,533","1,918,437",33.3%,"134,394","101,886","3,133,511",41.4%,"110,930","80,306","5,071,288",38.6%,"156,689","120,927","2,274,511","69,009","48,842","1,937,777",33.0%,"140,124","106,800","3,139,340",40.6%,"115,705","83,211","5,105,448",37.7%,"163,289","127,452","2,287,305","72,007","50,342","1,966,108",32.0%
Indiana,"99,248","79,243","1,717,448",39.1%,"82,643","62,743","2,680,694",37.4%,"113,555","91,970","1,285,451","49,238","36,751","963,246",33.2%,"106,944","84,508","1,740,106",36.7%,"88,805","66,785","2,726,489",35.5%,"122,445","97,914","1,307,913","53,033","39,768","986,383",32.2%,"111,042","87,851","1,734,567",35.8%,"91,900","69,477","2,754,881",34.6%,"127,546","103,145","1,287,098","55,268","41,309","1,020,314",31.5%,"114,934","90,323","1,766,749",36.0%,"95,565","71,959","2,775,637",34.5%,"132,730","106,778","1,293,561","57,147","42,363","1,008,888",30.6%
Iowa,"105,137","84,908","807,506",34.8%,"86,499","65,600","1,300,467",34.2%,"117,686","96,168","638,989","51,885","38,979","492,961",31.6%,"114,205","90,851","821,960",33.8%,"92,695","69,588","1,330,995",33.4%,"128,072","103,754","646,759","54,531","41,504","509,035",31.5%,"115,060","92,352","819,792",33.1%,"93,942","71,433","1,337,243",32.1%,"129,189","105,537","644,904","56,970","42,048","517,451",29.6%,"117,381","96,797","832,872",33.5%,"96,497","75,501","1,343,422",32.3%,"132,710","110,683","642,672","58,386","45,281","510,550",29.3%
Kansas,"105,012","82,637","741,029",36.2%,"86,580","64,124","1,159,026",35.3%,"119,449","95,458","574,260","50,523","36,685","417,997",32.6%,"113,962","89,712","740,407",37.2%,"93,221","68,925","1,175,294",35.9%,"128,205","102,123","574,286","54,058","39,735","434,887",32.3%,"113,966","90,492","753,460",35.5%,"93,781","70,333","1,188,340",34.0%,"128,868","103,964","581,346","54,987","41,087","434,880",30.2%,"124,483","96,101","758,824",34.9%,"101,988","75,514","1,204,374",34.0%,"140,174","111,024","590,956","59,372","44,477","445,550",31.2%
Kentucky,"90,106","70,060","1,159,532",37.6%,"76,234","55,573","1,785,682",35.9%,"104,785","83,954","850,400","47,032","32,452","626,150",31.3%,"99,631","76,119","1,172,125",36.1%,"82,614","59,341","1,828,680",34.6%,"115,427","91,212","860,710","48,151","33,993","656,555",30.6%,"100,215","77,935","1,187,553",36.6%,"83,499","61,118","1,853,603",34.8%,"116,971","93,544","867,100","49,828","36,323","666,050",30.6%,"105,546","82,757","1,189,969",36.9%,"87,717","64,526","1,865,456",34.8%,"122,424","98,920","866,644","52,411","38,452","675,487",29.9%
Louisiana,"90,570","67,045","1,138,131",47.3%,"75,590","52,087","1,783,924",44.6%,"112,131","88,243","756,880","45,785","30,626","645,793",38.4%,"96,505","72,866","1,131,137",41.7%,"79,175","55,416","1,816,902",39.9%,"119,167","94,699","754,142","47,270","32,360","685,765",35.5%,"101,069","75,974","1,152,396",42.0%,"83,303","58,229","1,833,915",39.1%,"123,493","96,460","767,299","49,634","32,837","681,519",33.4%,"105,961","80,529","1,154,304",41.1%,"86,656","60,986","1,848,965",39.5%,"130,588","104,613","769,606","51,129","36,040","694,661",35.6%
Maine,"106,929","82,842","365,226",34.0%,"87,756","64,767","593,626",33.5%,"119,450","93,712","288,115","52,814","38,143","228,400",31.4%,"114,321","88,063","370,935",33.3%,"93,555","69,543","605,338",33.1%,"127,359","100,366","292,681","55,434","40,639","234,403",31.2%,"115,534","91,546","375,377",36.0%,"97,157","73,733","616,085",35.1%,"129,513","104,055","294,871","63,378","45,735","240,708",32.7%,"125,691","99,546","370,334",33.8%,"102,734","76,442","615,235",32.8%,"138,527","110,544","293,267","63,299","45,568","244,901",30.2%
Maryland,"142,408","110,978","1,549,154",38.8%,"119,958","90,203","2,355,652",37.4%,"167,746","135,128","1,108,456","71,519","54,348","806,498",33.0%,"148,486","117,294","1,546,282",39.4%,"125,876","94,991","2,375,984",37.7%,"172,927","141,599","1,104,626","77,318","57,179","829,702",32.8%,"154,194","121,875","1,533,915",38.5%,"129,366","98,678","2,384,715",36.8%,"178,757","146,333","1,092,004","77,885","60,660","850,800",31.9%,"163,548","130,035","1,541,015",39.5%,"136,413","102,905","2,401,394",37.2%,"191,211","158,746","1,091,914","81,279","61,759","860,379",31.6%
Massachusetts,"150,788","113,822","1,719,532",43.4%,"124,789","89,645","2,759,018",41.0%,"175,658","136,843","1,268,347","76,380","52,250","1,039,486",35.5%,"162,406","120,263","1,724,355",41.7%,"133,823","94,488","2,797,776",39.4%,"191,170","145,577","1,263,224","82,617","55,979","1,073,421",34.5%,"168,151","126,104","1,730,855",42.3%,"138,516","99,858","2,800,984",39.6%,"195,131","151,403","1,269,734","84,654","59,594","1,070,129",34.0%,"174,000","131,831","1,761,366",42.2%,"144,312","104,828","2,829,804",39.4%,"203,136","159,210","1,282,733","89,402","61,790","1,068,438",33.5%
Michigan,"103,695","80,523","2,549,542",40.3%,"86,093","63,498","4,051,798",39.0%,"119,645","95,246","1,875,558","52,407","37,666","1,502,256",35.3%,"111,255","85,865","2,548,560",38.0%,"91,856","66,986","4,089,794",36.7%,"128,843","102,076","1,868,821","56,097","40,459","1,541,234",33.5%,"114,255","88,499","2,566,352",36.9%,"93,806","69,183","4,107,809",35.2%,"131,216","104,537","1,896,709","56,097","41,497","1,541,457",31.1%,"120,336","93,305","2,566,245",36.3%,"98,697","72,389","4,131,281",34.6%,"138,813","110,529","1,897,370","59,693","44,047","1,565,036",30.8%
Minnesota,"125,058","99,567","1,427,221",34.6%,"103,305","77,720","2,281,033",33.9%,"140,453","113,456","1,122,121","62,185","46,436","853,812",31.5%,"133,458","105,324","1,456,312",33.0%,"109,737","82,338","2,322,190",32.3%,"149,174","119,140","1,147,255","65,533","48,461","865,878",29.8%,"138,533","108,215","1,447,372",32.5%,"113,293","85,086","2,344,432",31.6%,"154,644","122,974","1,140,240","67,500","50,692","897,060",28.9%,"142,691","112,716","1,453,940",32.3%,"116,159","87,117","2,363,442",31.5%,"159,823","128,690","1,138,143","68,930","52,211","909,502",28.8%
Mississippi,"81,780","64,035","742,851",44.9%,"68,048","48,716","1,129,611",42.8%,"100,250","82,789","498,803","38,689","26,954","386,760",37.2%,"87,442","66,973","754,264",43.7%,"72,624","52,719","1,148,340",41.0%,"106,427","85,762","503,356","40,989","28,667","394,076",34.9%,"92,919","72,259","753,239",43.2%,"76,305","54,203","1,166,617",40.4%,"113,147","91,615","507,946","42,954","30,283","413,378",34.1%,"96,698","76,879","769,191",42.5%,"80,847","59,127","1,176,690",39.7%,"118,290","98,570","510,177","47,442","32,115","407,499",33.3%
Missouri,"103,361","79,084","1,555,743",36.8%,"84,920","61,847","2,468,726",35.6%,"118,376","92,163","1,176,418","50,134","36,036","912,983",32.5%,"108,019","83,420","1,569,735",36.1%,"88,586","64,811","2,521,832",35.3%,"123,979","98,090","1,168,049","52,852","38,435","952,097",32.7%,"113,860","88,850","1,587,271",35.1%,"93,074","68,545","2,556,271",33.9%,"129,879","103,254","1,190,753","55,229","41,014","969,000",30.8%,"118,023","92,101","1,591,484",34.6%,"96,920","71,589","2,563,244",33.2%,"135,536","107,473","1,190,688","58,068","42,092","971,760",29.5%
Montana,"103,786","79,958","275,623",37.1%,"87,083","63,249","448,949",35.8%,"116,080","91,666","219,056","55,835","38,707","173,326",33.2%,"109,448","83,580","282,216",38.0%,"90,874","67,631","464,072",36.2%,"121,898","94,791","223,380","58,278","40,582","181,856",32.2%,"113,037","88,591","286,269",35.3%,"94,069","70,804","472,867",33.9%,"124,585","100,020","228,589","61,521","41,938","186,598",30.9%,"124,922","97,801","285,217",35.6%,"101,634","75,340","468,981",33.6%,"137,755","108,127","229,637","61,998","44,974","183,764",30.0%
Nebraska,"109,786","88,484","495,142",35.9%,"89,209","66,817","785,982",34.2%,"123,126","99,687","391,102","50,988","37,749","290,840",30.1%,"116,618","92,676","501,595",35.4%,"94,599","69,597","803,157",34.0%,"132,582","106,393","390,540","54,076","40,712","301,562",30.6%,"124,408","96,439","507,500",35.5%,"101,268","74,590","813,864",34.2%,"138,555","107,610","398,895","58,598","42,849","306,364",30.7%,"122,371","100,245","514,383",36.0%,"100,280","76,376","824,012",34.0%,"137,054","112,075","402,810","59,323","45,631","309,629",29.5%
Nevada,"103,213","78,526","753,696",43.0%,"89,961","66,274","1,191,380",41.1%,"120,161","92,779","522,193","61,255","42,026","437,684",35.5%,"112,544","85,593","773,666",40.0%,"98,422","72,333","1,198,356",38.6%,"129,581","100,620","530,175","66,078","46,176","424,690",34.4%,"118,125","90,232","767,682",39.5%,"103,067","76,364","1,224,685",37.5%,"138,100","107,635","528,265","70,899","50,647","457,003",32.3%,"125,529","96,389","781,761",39.9%,"109,620","81,134","1,238,925",37.8%,"147,393","114,402","538,328","75,049","51,606","457,164",32.4%
New Hampshire,"131,377","108,208","361,209",36.2%,"111,908","88,465","548,026",35.5%,"144,633","121,400","286,604","67,462","48,469","186,817",32.4%,"140,757","112,950","358,120",34.3%,"119,452","89,992","557,220",33.4%,"154,617","126,386","285,354","75,262","52,292","199,100",30.2%,"148,204","116,546","367,335",33.1%,"124,500","96,838","569,493",32.5%,"163,967","133,780","292,316","74,525","55,035","202,158",29.9%,"156,219","124,960","361,715",33.9%,"128,604","99,782","570,689",32.9%,"172,456","139,183","287,265","74,643","55,415","208,974",30.0%
New Jersey,"147,745","110,102","2,379,328",43.2%,"124,951","89,296","3,497,945",41.2%,"170,911","132,308","1,763,645","70,650","50,424","1,118,617",35.3%,"157,601","117,988","2,378,459",41.6%,"134,191","96,346","3,516,978",39.5%,"181,939","140,500","1,753,523","78,512","54,589","1,138,519",33.4%,"161,739","121,944","2,395,738",42.2%,"138,153","99,781","3,538,457",39.6%,"188,089","146,672","1,755,631","81,483","58,033","1,142,719",32.5%,"167,365","127,593","2,414,189",40.7%,"143,216","104,294","3,543,944",38.4%,"194,803","152,435","1,764,953","84,494","60,668","1,129,755",32.0%
New Mexico,"90,496","67,786","522,651",38.4%,"76,989","53,992","834,007",36.3%,"108,441","86,242","357,938","50,572","35,517","311,356",31.0%,"97,014","74,341","516,464",39.5%,"82,382","59,726","848,218",36.7%,"116,046","92,049","344,144","55,207","36,532","331,754",30.7%,"98,871","75,197","524,550",38.7%,"85,782","62,268","856,580",36.1%,"120,087","95,566","350,569","59,694","42,058","332,030",30.1%,"108,068","84,387","522,330",39.9%,"91,875","67,816","856,970",36.1%,"127,801","102,481","347,132","61,747","44,453","334,640",29.1%
New York,"130,360","92,454","4,715,750",48.0%,"109,732","74,314","7,652,666",44.6%,"155,050","113,319","3,268,729","71,076","45,740","2,936,916",37.5%,"141,334","99,066","4,738,232",46.8%,"119,130","79,557","7,774,308",43.3%,"168,776","121,320","3,288,930","78,600","50,181","3,036,076",36.4%,"144,786","102,038","4,751,812",46.4%,"122,227","82,095","7,809,267",42.7%,"172,336","125,845","3,290,690","80,955","51,619","3,057,455",35.7%,"152,219","106,073","4,760,304",45.8%,"128,562","85,820","7,828,074",41.9%,"181,851","130,648","3,284,367","85,493","53,817","3,067,770",34.5%
North Carolina,"103,912","77,601","2,685,695",39.7%,"86,804","61,972","4,179,632",38.3%,"121,482","93,659","1,976,957","52,726","36,966","1,493,937",34.3%,"112,123","83,448","2,785,497",38.5%,"94,353","67,481","4,299,266",36.8%,"130,320","99,793","2,057,368","58,122","41,534","1,513,769",32.6%,"117,061","87,911","2,826,531",38.2%,"98,139","70,804","4,392,669",37.1%,"136,208","105,117","2,080,906","60,157","43,431","1,566,138",33.8%,"124,680","92,847","2,878,473",38.6%,"103,766","73,958","4,496,359",36.9%,"145,385","111,345","2,112,307","62,702","45,293","1,617,886",32.6%
North Dakota,"107,876","89,504","190,518",39.6%,"86,666","66,519","322,511",38.3%,"120,299","101,310","148,550","52,702","38,264","131,993",35.3%,"125,399","97,853","193,761",36.7%,"97,699","71,970","331,481",34.6%,"138,061","108,453","156,026","55,371","43,372","137,720",30.9%,"125,994","103,823","191,997",36.2%,"98,324","76,525","338,059",34.9%,"138,698","115,330","155,411","58,736","45,661","146,062",32.6%,"131,469","103,393","200,025",37.6%,"103,487","77,871","349,705",34.8%,"148,534","118,577","158,667","63,218","48,273","149,680",30.5%
Ohio,"103,110","80,760","2,986,455",36.2%,"84,572","62,262","4,832,922",34.9%,"121,275","97,373","2,162,168","51,276","37,034","1,846,467",31.6%,"110,719","86,001","2,983,145",35.5%,"90,109","65,720","4,878,206",34.1%,"129,527","103,290","2,173,755","54,221","40,164","1,895,061",30.7%,"115,168","89,221","2,994,112",36.3%,"93,500","67,769","4,917,309",34.5%,"135,224","106,890","2,172,396","56,134","41,286","1,923,197",30.4%,"119,315","93,734","3,017,765",36.1%,"97,483","72,212","4,929,322",34.6%,"139,073","112,149","2,196,451","58,943","43,070","1,911,557",30.9%
Oklahoma,"90,118","69,967","999,852",40.9%,"75,430","55,826","1,547,967",39.2%,"105,371","84,793","731,871","45,211","32,980","548,115",35.1%,"98,937","75,476","1,017,586",39.4%,"82,741","59,673","1,573,180",38.1%,"114,545","90,595","746,847","49,318","35,419","555,594",34.1%,"103,381","80,417","1,018,318",39.0%,"85,650","62,138","1,589,105",37.0%,"120,079","95,573","735,765","50,640","37,256","570,787",32.4%,"107,754","82,640","1,030,442",38.7%,"90,075","66,148","1,603,748",36.9%,"125,811","100,115","747,696","54,161","39,816","573,306",32.2%
Oregon,"113,270","88,085","1,054,032",34.2%,"95,662","71,562","1,702,599",33.3%,"127,809","101,259","806,612","61,912","44,491","648,567",29.7%,"123,364","93,384","1,041,083",32.7%,"102,923","75,657","1,726,340",31.7%,"140,570","108,201","788,221","66,755","48,114","685,257",28.7%,"125,331","97,946","1,083,103",33.1%,"107,214","80,160","1,752,050",32.3%,"142,653","113,252","810,607","71,598","50,157","668,947",29.2%,"132,592","104,569","1,072,174",33.2%,"110,900","85,220","1,744,270",32.7%,"148,806","120,342","815,824","70,132","51,041","672,096",30.2%
Pennsylvania,"112,917","87,500","3,298,555",40.8%,"93,835","68,957","5,228,956",39.0%,"130,454","103,315","2,449,955","57,455","39,969","1,930,401",34.7%,"121,871","93,029","3,294,814",39.1%,"100,015","71,798","5,294,065",37.2%,"140,307","109,173","2,462,324","60,489","42,203","1,999,251",32.9%,"124,838","94,367","3,316,875",38.5%,"102,578","73,824","5,324,209",37.0%,"144,981","111,664","2,446,845","61,447","43,501","2,007,334",33.5%,"131,583","100,557","3,329,815",38.2%,"107,471","77,545","5,361,724",35.9%,"151,352","118,521","2,473,004","63,902","45,993","2,031,909",31.2%
